Review,title,Rating
"Whenever I am in London, I try to stop here for a meal. There is something about the atmosphere that just can't be beat! Some of the crypt stones have visible writing. It is a trifle noisy, but you can still make conversation comfortably at...More",A Hidden Gem!,5.0
"We met up with a friend who suggested we meet here and have lunch. I chose the salad which was lovely and fresh, I loved the watermelon with mozzarella. You could choose 3 different salads and it came on a huge plate. The surroundings are...More",Lovely lunch in great surroundings,5.0
"As far as cafeteria-style eating goes, you can’t ask for much more. My lunch was hearty and satisfying, not something all vegetarian meals can accomplish. However, my suggestion would be to make a quick beeline for the coffee — their cappuccino is fantastic.","Food not bad, drink better",4.0
"My wife and I had lunch here. Kind of neat since it is located under a church, aka a crypt. The cafe is actually a cafeteria which had about 8-10 choices for appetizers / salads and about 4 choices for mains. I had a salad...More",Lunch Under a Church,4.0
"Very atmospheric venue. The staff were helpful and although it was 1.30pm in the school holidays it was easy to find a seat. The food was varied and very reasonably priced, especially considering the location. A lovely place for lunch.","Unusual venue, excellent food",5.0
"After visiting the Church (worth a visit) we had a light snack in the Crypt. The hot food on offer looked delicious but we only wanted scones and a drink, both were good but felt the cafe is let down by ugly chairs, tables and...More",Late afternoon snack ,4.0
We both had Vegetarian Tagine with Cous Cous and salad. Tasty. However unfortunately we couldn’t find any dressing for the salad.,Good food and prices ,4.0
"The entrance to this café is via a cylindrical glass structure next to St-Martin-in-the-Fields church. The contrast in architecture styles between the classical church and the contemporary café is so striking that at first glance it seems unlikely they’re connected.
Once inside you go down...More",The Crypt Factor,4.0
"I love meeting friends here, it's position is perfect for visitors sightseeing and has retains a lovely informal atmosphere. There's always good food options and the staff are always helpful and pleasant.",Usefully central for lunch dates and offers music some evenings,5.0
"I and two friends came on Wednesday at 1:00pm. The place was stuffy, very noisy& there were dirty plates stacked on the floor. It was self-service. We left as it reminded us of a school canteen.",Unsuitable for relaxing lunch,1.0
"love the crypt, food isn't fancy but it is wholesome and available every day. It is an escape from the outside noise of Trafalgar Square and what it has become",a great place for lunch and quiet,3.0
"Called in for a quick coffee and a cake whilst passing.
Lovely vaulted ceiling and set up, decent food and drink, good service and clean toilets.
Value wise not bad for the location and overall a decent visit.",Sunday afternoon coffee & cake,4.0
"Came here for a quick light breakfast and thought it would be nicer to support this place than one of the ubiquitous coffee chain places. Good decision. Lovely pot of tea, bacon rolls. This would be a great place to meet if in this area...More",Hits the spot,4.0
Great place for tea and a break extra clean toilets always pop in when near Piccadilly Circus best value around shhh don’t tell everyone,Lovely tea,5.0
I didn't know about this hidden gem un til yesterday. My friend and I dropped in for a cup of tea during a day visit to London. Lovely surroundings. Great pot of tea for a very reasonable price. Very clean. Good toilet facilities. Food looked...More,Cup of tea,5.0
A really handy casual place to drop in for a drink or snack right by the side of Trafalgar Sq. They do soup and home made sandwiches at reasonable prices and you could sit at one of the tables for as long as you like...More,A handy place to meet,4.0
"A small and rather beautiful oasis of inexpensive, basic family and old people friendly food in a desert of over-priced rip-off joints. I went in for a cup of tea, a chat with the family and a place to sit and rest for half an...More","Please Mr Archbishop, do not sell off this gem",5.0
"The Cafe in the Crypt is a little bit of history to dine in, and there's now a swish little lift to take you down to the bowels of St Martin's (on the north side). The cafe serves a variety of snacks and meals -...More",Worth a visit for where it is,4.0
"We were visiting the National Gallery and had read about the cafe under the church online. We were really glad to have found it, had a quick and simple bite to eat for a very reasonable price, considering we were in central London. The soup...More",Great find!,5.0
First visit with a friend who had been a few times. It was a Friday evening just before going to the theatre. We were short of time so thought it would be quicker than going into a main restaurant. Although it was busy we got...More,Average Food,3.0
Over priced and under filled. Presentation aimed to deceive true level of contents - buyer beware. A super venue though.,Sandwiches,2.0
"Whenever in London, this is one of our favorite spots to have lunch. The prices are good and they always have excellent soups. This cafeteria in the basement of St Martins in the Fields is always busy, very popular.",Still excellent for lunch,4.0
"This undercroft serves very good food and quickly. Folks who work in the area eat there so that is a strong recommendation. After lunch, enjoy a nice concert upstairs in the church.",Good food under God,5.0
"We stopped off here on the recommendation of a friend who often comes here.
It is quite spectacular as you walk down the stairs from the church entrance to be greeted a step at a time by the vaulted brickwork.
We arrived at about 11AM...More",Day trip to London,5.0
"I had never had a meal in a crypt before last Monday but I had read that there was a café in the crypt of St. Martins in the Field and I knew I had to try it. I went late in the afternoon, 3ish,...More",A Different Experience,4.0
Alway busy and buzzing but a stones throw from Caring Cross Sation. Good selection of hot and cold food reasonably priced. Large seating area and good facilities. Our go to place to eat if all else fails us or we have time before the train....More,Charing Cross alternative eating,4.0
"I like to visit here when I go to the National Gallery as the food is lovely, generous portions, deals and reasonably priced (especially considering location).
However service can be very slow and queues long.
I went in for pudding and cup of tea for...More","Good food, great location, reasonable prices but crowded with slow service and long queues.",3.0
Popped in here before going to the theatre and enjoyed a good value for money Cappuccino and very large pastries. The food looked excellent so we will return.,Great large pastries,5.0
Super cool atmosphere eating below St Martins. We ate lot's of fish and chips on our visit to London and this place had the best! We nicknamed them Whale and Chips since the portion sizes were so large. Great value and exceptional taste. If you're...More,Fish and Chips anyone? These were AMAZING!,5.0
"Visited for coffee/tea break, lunch, afternoon tea and pre-theatre dinner. All good value and good quality in the relative peace of the church crypt. A bonus is to be supporting a deserving cause.",Place to re-energise in the heart of London's West End,4.0
Sorry to say I did not enjoy the food not good quality but other then that I was very happy tea was very good staff very polite as always,Cafe in the crypt,4.0
Food quality is inconsistent. Main course vegetarian of root veg stew was very unappetising and tasteless . Apple crumble and custard however was very good. Closes very early as is a church cafe rather than a restaurant for an evening out. Works well if attending...More,Evening supper,3.0
"Busy but with a good number of tables there was plenty on offer for brunch. Capucino was very good, croissant and cakes were ok, soup was excellent. Service was ok with tables being cleared in good time. The crypt itself is an interesting venue and...More",Mid-week Brunch,3.0
Useful place for a quick chat in Central London over a coffee and a piece of cake. Close to galleries.,Handy underground rest stop,3.0
"This café is ideal if you are in the centre of town and want a quick snack, drink or meal in stunning surroundings.
This, as its name suggests, is a café in the crypt of St Martin-in-the-Fields and just across the road from the National...More","Great location, brilliant building – food over priced and over packaged.",2.0
"Dear Andrew
Thank you for taking the time to share your thoughts with us and I am sorry that while you were here our customer service was not up to our usual standards. I will ensure we review your feedback at our next team meeting...More",Pre concert meal,4.0
"We ate here out of convenience as we were to watch a concert.
At £16.95 for the meal deal which includes a main course , dessert and a glass of wine it was a no brainer! The chilli was yummy and the dark chocolate mousse...More",Wifey's Favorite,4.0
"This is my wife's favorite place to eat when we're in London. They yusually have some roasted vegetables (which she loves) as well as ""comfort food"" type entrees with which she feels safe. The setting with its vaulted ceilings is very nice. (St. John's Smith...More",Wonderful location,5.0
"This gem is tucked away below St Martins in the Fields, across the road from Trafalgar Square.
It is accessed by stairs or lift, and is always busy. I have seen people from walks of life there, from tourists to TV presenters - very popular....More","Good food, good selection, great place for lunch or tea.",5.0
"Beautiful, old church to visit in London in Trafalgar Square. Buffet style food, lots of different choices, vegetarian choices, too. Excellent soup and crumble special - I had a pureed mixed vegetable soup with a hard roll and apple crumble with custard on a cool...More",Disappointed,3.0
